texto,emocion
Me siento triste pe cuando se va mi ñañu.,tristeza
Me frustra que la chicha se acabe tan rápido en el jato.,frustración
La despedida en el jato me trajo mucha tristeza.,tristeza
Estoy feliz pe porque me dieron yapa en la tienda.,alegría
Me siento triste pe cuando se va mi pe.,tristeza
"Intenté pescar en el Titicaca y no pesqué nada, qué frustración.",frustración
La despedida en el jato me trajo mucha tristeza.,tristeza
Estoy feliz pe porque me dieron yapa en la tienda.,alegría
Ver la calle en mal estado me llena de desánimo.,desánimo
Extraño los atardeceres en el lago con mi achachila.,tristeza
"Me da ansiedad pensar en el examen, chalina.",ansiedad
"La fila en la feria me llena de frustración, ñañu.",frustración
La despedida en la plaza me llenó de tristeza.,tristeza
"Me da ansiedad pensar en el examen, chalina.",ansiedad
Siento ansiedad antes de la ceremonia con mi pata.,ansiedad
Me llena de alegría la fiesta de la Virgen de la Candelaria.,alegría
La despedida en el jato me trajo mucha tristeza.,tristeza
La vista del Titicaca al amanecer me provoca alegría.,alegría
"¡Qué rabia, pe! Esta pata no entiendo cómo funciona.",frustración
"La fila en la feria me llena de frustración, ñañu.",frustración
"¡Qué rabia, pe! Esta achachila no entiendo cómo funciona.",frustración
La oscuridad en la puna me genera ansiedad.,ansiedad
"La fila en la feria me llena de frustración, ñañu.",frustración
"La fila en la feria me llena de frustración, ñañu.",frustración
Hoy estoy alegre bailando diablada con mis patas.,alegría
Me frustra que la chicha se acabe tan rápido en el jato.,frustración
"Estoy desanimado por la falta de turistas, chuchu.",desánimo
"La fila en la feria me llena de frustración, ñañu.",frustración
"¡Qué rabia, pe! Esta apunada no entiendo cómo funciona.",frustración
"Estoy desanimado por la falta de turistas, chuchu.",desánimo
"Intenté pescar en el Titicaca y no pesqué nada, qué frustración.",frustración
No sirve el wifi en el jato y eso es pura frustración.,frustración
El desánimo me invade cuando pierdo en fútbol en el jato.,desánimo
Me frustra que la chicha se acabe tan rápido en el jato.,frustración
La vista del Titicaca al amanecer me provoca alegría.,alegría
Ver la calle en mal estado me llena de desánimo.,desánimo
La espera del bus me provoca mucha ansiedad.,ansiedad
Estoy feliz pe porque me dieron yapa en la tienda.,alegría
Me siento triste pe cuando se va mi chamba.,tristeza
No sirve el wifi en el jato y eso es pura frustración.,frustración
La despedida en la plaza me llenó de tristeza.,tristeza
Estoy feliz pe porque me dieron yapa en la tienda.,alegría
No sé si llegará la yapa y eso me causa ansiedad.,ansiedad
La despedida en el jato me trajo mucha tristeza.,tristeza
Siento ansiedad antes de la ceremonia con mi pata.,ansiedad
El desánimo me invade cuando pierdo en fútbol en el jato.,desánimo
"Hoy la nostalgia y la tristeza se apoderaron de mí, pata.",tristeza
"Intenté pescar en el Titicaca y no pesqué nada, qué frustración.",frustración
No sé si llegará la yapa y eso me causa ansiedad.,ansiedad
Me frustra que la chicha se acabe tan rápido en el jato.,frustración
"Intenté pescar en el Titicaca y no pesqué nada, qué frustración.",frustración
La despedida en el jato me trajo mucha tristeza.,tristeza
Me siento desanimado si no organizo bien la chamba.,desánimo
"Me da ansiedad pensar en el examen, chalina.",ansiedad
Extraño los atardeceres en el lago con mi chuchu.,tristeza
Me siento triste pe cuando se va mi chalina.,tristeza
La despedida en el jato me trajo mucha tristeza.,tristeza
No sirve el wifi en el jato y eso es pura frustración.,frustración
"La fila en la feria me llena de frustración, ñañu.",frustración
Estoy feliz pe porque me dieron yapa en la tienda.,alegría
Hoy estoy alegre bailando diablada con mis patas.,alegría
"Estoy desanimado por la falta de turistas, chuchu.",desánimo
Estoy feliz pe porque me dieron yapa en la tienda.,alegría
Me frustra que la chicha se acabe tan rápido en el jato.,frustración
Siento ansiedad antes de la ceremonia con mi pata.,ansiedad
Hoy estoy alegre bailando diablada con mis patas.,alegría
"¡Qué rabia, pe! Esta jato no entiendo cómo funciona.",frustración
Extraño los atardeceres en el lago con mi jato.,tristeza
"Hoy la nostalgia y la tristeza se apoderaron de mí, pata.",tristeza
Hoy estoy alegre bailando diablada con mis patas.,alegría
El desánimo me invade cuando pierdo en fútbol en el jato.,desánimo
"Intenté pescar en el Titicaca y no pesqué nada, qué frustración.",frustración
El desánimo me invade cuando pierdo en fútbol en el jato.,desánimo
El desánimo me invade cuando pierdo en fútbol en el jato.,desánimo
La despedida en la plaza me llenó de tristeza.,tristeza
La escasez de trabajo te pone con puro desánimo.,desánimo
Me siento triste pe cuando se va mi pata.,tristeza
"Estoy desanimado por la falta de turistas, chuchu.",desánimo
Me frustra que la chicha se acabe tan rápido en el jato.,frustración
Estoy feliz pe porque me dieron yapa en la tienda.,alegría
El desánimo me invade cuando pierdo en fútbol en el jato.,desánimo
El desánimo me invade cuando pierdo en fútbol en el jato.,desánimo
Ver la calle en mal estado me llena de desánimo.,desánimo
La despedida en el jato me trajo mucha tristeza.,tristeza
Extraño los atardeceres en el lago con mi chamba.,tristeza
