texto,estilo
"Genial, otra maravilla cortesía de la achachila, pe.",irónico
"Claro, porque la chuchu siempre soluciona todo… jajaja.",irónico
La apunada se encuentra disponible en la oficina central.,neutro
"Claro, porque la jato siempre soluciona todo… jajaja.",irónico
"Genial, otra maravilla cortesía de la pata, pe.",irónico
"Por favor, remítase al informe sobre la chamba adjunto.",formal
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
"¡Excelente, más chuchu para alegrar el día… dijo nadie!",irónico
La yapa será revisada mañana por el comité.,neutro
"Sí, seguro la jato vendrá volando cuando menos lo esperemos.",irónico
La pata será revisada mañana por el comité.,neutro
Solicito confirmación de recepción de la documentación pertinente.,formal
"¡Qué original tu idea de la apunada, nunca lo había oído!",irónico
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
"Deja de joder con tu apunada, pe, en serio.",agresivo
"Eso se hablará después, pata, no me presiones.",evasivo
"Por favor, remítase al informe sobre la pachita adjunto.",formal
Se programó una sesión informativa sobre la mishi.,neutro
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
La pachita será revisada mañana por el comité.,neutro
"Claro, porque la chalina siempre soluciona todo… jajaja.",irónico
¡Que no te vea merodeando con esa yapa o verás!,agresivo
"No sé si convenga meterse en esa pe, ya tú sabes.",evasivo
"¡Qué original tu idea de la ñañu, nunca lo había oído!",irónico
La mishi será revisada mañana por el comité.,neutro
"¡Cállate de una vez, apunada, no sabes nada!",agresivo
"Por favor, remítase al informe sobre la yapa adjunto.",formal
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
La información sobre la chalina está en el portal oficial.,neutro
El horario de atención para la pata es de 8 a 16 horas.,neutro
"Bueno pe, ya veremos qué onda con esa pata.",evasivo
Solicito confirmación de recepción de la documentación pertinente.,formal
"Deja de joder con tu apunada, pe, en serio.",agresivo
"Bueno pe, ya veremos qué onda con esa chalina.",evasivo
"¡Qué original tu idea de la ñañu, nunca lo había oído!",irónico
"Deja de joder con tu jato, pe, en serio.",agresivo
"Bueno pe, ya veremos qué onda con esa achachila.",evasivo
"Genial, otra maravilla cortesía de la jato, pe.",irónico
"Bueno pe, ya veremos qué onda con esa yapa.",evasivo
"No sé si convenga meterse en esa apunada, ya tú sabes.",evasivo
El horario de atención para la pachita es de 8 a 16 horas.,neutro
"Claro, porque la chuchu siempre soluciona todo… jajaja.",irónico
La información sobre la chalina está en el portal oficial.,neutro
"Estimado señor, le agradecería clarificar lo relativo a la mishi.",formal
"¡Cállate de una vez, apunada, no sabes nada!",agresivo
La información sobre la pachita está en el portal oficial.,neutro
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
Se programó una sesión informativa sobre la mishi.,neutro
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
"¡No me rolees con esa chalina, cómo te atreves!",agresivo
"Genial, otra maravilla cortesía de la pachita, pe.",irónico
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
"Estimado señor, le agradecería clarificar lo relativo a la chalina.",formal
"¡Excelente, más pe para alegrar el día… dijo nadie!",irónico
¡Que no te vea merodeando con esa wawa o verás!,agresivo
"Sí, seguro la yapa vendrá volando cuando menos lo esperemos.",irónico
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
"Estimado señor, le agradecería clarificar lo relativo a la jato.",formal
La chamba se encuentra disponible en la oficina central.,neutro
Quedo atento a comentarios adicionales sobre la apunada.,formal
"¡Qué original tu idea de la wawa, nunca lo había oído!",irónico
"Eso se hablará después, pata, no me presiones.",evasivo
"No sé si convenga meterse en esa jale, ya tú sabes.",evasivo
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
"Bueno pe, ya veremos qué onda con esa jale.",evasivo
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
¡Que no te vea merodeando con esa yapa o verás!,agresivo
"No sé si convenga meterse en esa pe, ya tú sabes.",evasivo
"¡Cállate de una vez, apunada, no sabes nada!",agresivo
"No sé si convenga meterse en esa jale, ya tú sabes.",evasivo
Se programó una sesión informativa sobre la mishi.,neutro
El horario de atención para la apunada es de 8 a 16 horas.,neutro
¡Que no te vea merodeando con esa wawa o verás!,agresivo
La información sobre la chamba está en el portal oficial.,neutro
"Bueno pe, ya veremos qué onda con esa pachita.",evasivo
Quedo atento a comentarios adicionales sobre la pata.,formal
"¡Qué original tu idea de la jale, nunca lo había oído!",irónico
"¡No me rolees con esa achachila, cómo te atreves!",agresivo
La jale será revisada mañana por el comité.,neutro
Se programó una sesión informativa sobre la achachila.,neutro
"¡Qué original tu idea de la wawa, nunca lo había oído!",irónico
La achachila se encuentra disponible en la oficina central.,neutro
Se programó una sesión informativa sobre la achachila.,neutro
Solicito confirmación de recepción de la documentación pertinente.,formal
Se programó una sesión informativa sobre la jato.,neutro
"Claro, porque la jale siempre soluciona todo… jajaja.",irónico
"Por favor, remítase al informe sobre la pata adjunto.",formal
La chamba se encuentra disponible en la oficina central.,neutro
La jato se encuentra disponible en la oficina central.,neutro
"Genial, otra maravilla cortesía de la wawa, pe.",irónico
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
Solicito confirmación de recepción de la documentación pertinente.,formal
La chamba será revisada mañana por el comité.,neutro
"No sé si convenga meterse en esa chalina, ya tú sabes.",evasivo
